GPY	Logan Webb	SF	SP	20	1104.1	0
APO	Corbin Burnes	BAL	SP	15	1103.5	0
GPO	Zack Wheeler	PHI	SP	8	1053.9	0
GPO	Kevin Gausman	TOR	SP	8	1030.9	0
GPO	Luis Castillo	SEA	SP	8	1023.9	0
GPO	Pablo Lopez	MIN	SP	8	1021.4	0
GPO	Zac Gallen	ARI	SP	8	1000.8	0
SSPO	Framber Valdez	HOU	SP	4	999.8	0
GPY	George Kirby	SEA	SP	20	973.6	0
GPO	Blake Snell	(N/A)	SP	8	954.5	0
SSPY	Kyle Bradish	BAL	SP	15	950.7	0
GPO	Aaron Nola	PHI	SP	8	941.7	0
GPY	Freddy Peralta	MIL	SP	20	923.3	0
FSPY	Mitch Keller	PIT	SP	7	917.3	0
GPY	Tarik Skubal	DET	SP	20	907.1	0
SSPY	Justin Steele	CHC	SP	15	905.1	0
SSPY	Jesus Luzardo	MIA	SP	15	904.6	0
APO	Tyler Glasnow	LAD	SP	15	903.6	0
SSPY	Logan Gilbert	SEA	SP	15	896.0	0
SSPO	Sonny Gray	STL	SP	4	895.1	0
FSPO	Dylan Cease	CHW	SP	2	892.5	0
SSPO	Kodai Senga	NYM	SP	4	890.2	0
GPY	Grayson Rodriguez	BAL	SP	20	882.8	0
FSPO	Jordan Montgomery	(N/A)	SP	2	881.1	0
SSPO	Max Fried	ATL	SP	4	877.5	0
SSPO	Chris Bassitt	TOR	SP	4	854.1	0
SSPO	Zach Eflin	TB	SP	4	853.2	0
FSPO	Merrill Kelly	ARI	SP	2	849.5	0
FSPY	Braxton Garrett	MIA	SP	7	841.5	0
FSPY	Bobby Miller	LAD	SP	7	833.2	0
SSPY	Tanner Bibee	CLE	SP	15	821.9	0
SSPY	Cole Ragans	KC	SP,RP	15	819.7	0
FSPO	Jose Berrios	TOR	SP	2	817.7	0
SSPY	Joe Ryan	MIN	SP	15	804.3	0
FSPO	Joe Musgrove	SD	SP	2	802.9	0
GPY	Yoshinobu Yamamoto	LAD	SP	20	791.0	0
BSPY	Hunter Brown	HOU	SP	2	773.5	0
